"ITM","DEBELS","MASCOBE","LAKOTAS","ZADOBROK","SALIVA"
22,2,16,5,350,2.7
23,3,21,7,460,2.9
30,5,18,4,250,2.8
28,9,25,9,350,3.1
23,3,18,6,440,3.6
28,7,31,8,290,2.2
27,8,25,7,230,3.2
24,6,20,5,300,2.4
28,6,24,6,330,2.9
23,7,14,5,250,2.5
28,8,22,8,290,3.1
26,4,23,10,380,3
28,7,24,8,390,3.6
23,3,17,5,260,2.3
28,5,24,5,300,2.8
24,5,19,5,290,2.6
22,5,15,6,330,2.7
25,3,21,10,390,3
26,6,22,7,280,3.1
26,7,24,8,360,3.6
28,5,26,6,340,2.4
26,7,23,6,340,3.3
19,4,16,4,250,2.3
26,6,19,8,410,2.4
22,2,22,2,270,2.7
26,4,23,7,330,3.3
24,4,21,6,290,2.4
24,5,18,8,460,3.4
20,4,15,6,470,3.5
28,5,17,7,310,3
26,5,11,7,390,3.3
21,5,21,5,330,2.3
26,7,21,7,300,3
28,7,18,5,200,2.8
23,5,16,2,130,1.7
24,5,10,7,300,3.1
30,6,18,6,170,2.3
26,7,16,5,350,2.8
27,6,20,5,200,2.8
29,10,18,11,400,4.1
20,4,16,6,430,3.5
22,6,23,6,380,2.4
26,4,15,7,400,3.4
21,5,20,4,280,1.8
22,4,12,4,350,3.2
24,8,22,9,460,3.4
23,4,17,7,360,2.6
24,5,20,8,390,3.6
21,3,15,5,430,3.4
27,6,26,11,470,3.6
21,5,21,4,370,3
20,3,21,5,290,2.3
18,4,26,5,350,2.7
23,7,20,4,230,1.7
21,5,25,6,280,2.4
26,7,15,8,350,3.1
28,6,21,9,350,3.2
25,4,19,10,520,3
26,7,21,8,360,3.2
24,5,18,6,250,2.6
23,4,18,8,410,2.7
30,8,21,9,400,3.5
29,3,12,4,270,2.7
24,10,28,8,460,3.9
26,7,22,7,330,3.5
20,4,17,8,390,2.7
21,1,18,6,350,2
28,7,23,4,220,2.6
24,5,19,7,280,2.9
26,6,21,10,380,2.9
27,6,17,9,360,3
22,2,15,6,310,2.3
27,5,19,9,420,3.7
21,3,21,7,420,2.9
23,2,19,8,460,3.7
32,9,24,8,330,3.7
17,3,21,10,510,2.4
23,5,22,6,290,2.5
20,5,23,6,310,2.5
27,9,25,6,310,2.9
21,5,12,6,380,2.1
28,9,21,8,290,2.9
29,5,21,9,360,3
26,8,18,7,380,3.7
23,5,17,7,300,2.9
19,5,15,7,350,2.5
20,2,14,6,430,2.4
23,6,15,5,350,3
31,10,19,8,220,3
23,3,16,6,370,2.9
27,4,22,5,270,2.9
28,7,28,7,400,3.4
18,3,13,3,390,2.6
23,6,21,7,390,3.3
24,5,23,10,400,3.4
22,3,17,2,340,2.7
24,3,19,5,330,2.8
26,7,22,9,350,3
23,5,20,5,420,2.7
23,3,13,4,280,2.7
21,4,17,9,500,3.4
25,7,18,6,380,3.9
21,4,21,7,380,2.4
22,6,20,10,400,3.6
24,10,19,5,230,2
22,1,21,5,370,2.9
23,5,20,5,320,2.9
29,5,24,6,380,2.6
32,11,26,7,330,3.6
29,7,20,6,320,3.4
25,5,17,6,400,3.2
22,6,16,3,360,2.8
25,7,22,7,290,2.5
22,1,11,3,360,2.7
22,7,15,4,320,2.8
26,5,21,10,450,3.1
31,8,24,9,350,4
25,4,20,7,400,3.6
27,5,22,6,390,3.5
25,8,26,6,320,2.9
23,6,23,4,320,2.4
29,5,23,7,320,3.1
26,8,27,6,270,3.4
22,3,20,6,350,2.9
25,7,23,6,300,2.6
28,8,20,6,330,4
22,4,19,4,330,3.5
30,8,22,5,220,3.1
30,10,28,9,320,3.4
18,6,21,5,280,2.8
22,5,19,5,250,2.7
26,8,21,5,290,2.4
22,8,21,4,240,3
26,5,24,4,220,1.9
23,4,20,8,360,3.2
28,8,19,7,140,3
25,4,26,11,400,3.3
21,2,21,5,420,2.7
26,6,16,6,340,2.9
28,7,21,7,300,2.8
24,6,21,8,410,3
25,5,15,10,490,3.2
24,4,22,6,350,2.9
23,5,23,5,220,1.9
26,6,23,7,410,3.2
29,7,22,6,310,3.1
24,5,18,7,370,3.2
26,7,27,6,300,2.8
27,9,23,9,460,4
19,5,17,5,400,3.2
25,5,19,5,280,3.2
24,4,11,5,360,3.1
25,6,14,9,360,3.1
24,3,23,9,490,3.9
27,6,12,6,380,2.9
27,3,20,5,400,2.9
28,8,24,8,420,3.2
20,6,23,7,320,2.7
26,6,22,11,510,3.6
19,2,18,4,440,3.3
25,7,24,8,340,2.7
21,4,18,9,560,3.3
23,5,16,5,310,3
24,6,20,9,480,3
28,7,24,7,330,2.9
26,4,24,6,340,3.1
24,3,13,3,280,2.8
20,3,15,9,500,4.5
26,5,15,11,530,3.4
27,6,29,8,360,3
21,4,16,3,250,1.9
18,2,17,2,370,2.6
21,2,12,3,280,2.4
26,4,15,10,500,3.1
25,6,24,6,400,2.7
24,4,22,6,430,3.3
20,5,20,6,290,3
27,10,23,7,300,2.8
27,5,22,7,270,2.4
24,7,19,8,410,3.2
25,6,17,5,300,3.2
18,3,19,2,320,2.3
23,5,21,5,230,2.3
29,6,23,6,240,2.1
25,9,22,6,400,3.6
25,5,19,8,450,3.2
21,7,15,4,190,1.9
27,9,17,4,200,2.8
26,6,24,9,500,4.1
24,7,25,7,360,2.7
23,6,16,5,250,2.9
23,4,17,6,240,2.5
26,6,27,3,50,2.1
28,8,30,9,370,3.7
21,3,18,7,310,2.1
22,7,20,5,270,2.8
23,5,15,9,490,3.1
24,10,29,8,360,3.4
22,2,15,8,380,2.8
27,6,21,8,400,3.5
