# obseg - obseg pizze
# itm - indeks telesne mase
# debels - samoocena zadovoljstva s težo
# mascobe - delež maščobnega tkiva v telesu
# lakotas - samoocena lakote
# zadobrok - čas od zadnjega obroka
# saliva - količina izločene sline
obseg itm debels mascobe lakotas zadobrok saliva
69 22 2 16 5 350 2.7
90 23 3 21 7 460 2.9
40 30 5 18 4 250 2.8
57 28 9 25 9 350 3.1
71 23 3 18 6 440 3.6
58 28 7 31 8 290 2.2
40 27 8 25 7 230 3.2
62 24 6 20 5 300 2.4
44 28 6 24 6 330 2.9
61 23 7 14 5 250 2.5
62 28 8 22 8 290 3.1
79 26 4 23 10 380 3
64 28 7 24 8 390 3.6
33 23 3 17 5 260 2.3
47 28 5 24 5 300 2.8
60 24 5 19 5 290 2.6
53 22 5 15 6 330 2.7
90 25 3 21 10 390 3
64 26 6 22 7 280 3.1
67 26 7 24 8 360 3.6
55 28 5 26 6 340 2.4
66 26 7 23 6 340 3.3
63 19 4 16 4 250 2.3
44 26 6 19 8 410 2.4
52 22 2 22 2 270 2.7
48 26 4 23 7 330 3.3
50 24 4 21 6 290 2.4
93 24 5 18 8 460 3.4
81 20 4 15 6 470 3.5
51 28 5 17 7 310 3
66 26 5 11 7 390 3.3
57 21 5 21 5 330 2.3
49 26 7 21 7 300 3
37 28 7 18 5 200 2.8
36 23 5 16 2 130 1.7
67 24 5 10 7 300 3.1
46 30 6 18 6 170 2.3
62 26 7 16 5 350 2.8
60 27 6 20 5 200 2.8
64 29 10 18 11 400 4.1
85 20 4 16 6 430 3.5
65 22 6 23 6 380 2.4
78 26 4 15 7 400 3.4
44 21 5 20 4 280 1.8
56 22 4 12 4 350 3.2
57 24 8 22 9 460 3.4
70 23 4 17 7 360 2.6
79 24 5 20 8 390 3.6
87 21 3 15 5 430 3.4
72 27 6 26 11 470 3.6
61 21 5 21 4 370 3
67 20 3 21 5 290 2.3
62 18 4 26 5 350 2.7
41 23 7 20 4 230 1.7
68 21 5 25 6 280 2.4
78 26 7 15 8 350 3.1
